time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-6-30-9-51-47-295135,,0.000000,0.000000,0.000000,-0.661665,0.054041,0.505666,-0.607538,-0.593280,-0.391955,-23.330570,-0.332875,-0.231762,995.060156,31.190000,150.477079,47.167969 
2019-6-30-9-51-47-400057,,0.000000,0.000000,0.000000,-0.896430,0.150134,0.702813,-0.740566,-0.383627,-1.711062,-23.199400,-1.051550,3.499722,995.060156,31.190000,150.477079,47.167969 
2019-6-30-9-51-47-504322,,0.000000,0.000000,0.000000,-0.633244,-0.065389,0.333652,1.957244,-0.109057,-0.445699,-21.600393,-4.774622,4.351352,995.060156,31.190000,150.477079,47.167969 
2019-6-30-9-51-47-604546,,0.000000,0.000000,0.000000,-0.297058,-0.171329,0.473615,0.059731,-2.840391,-1.316235,-21.202063,-4.644447,6.470225,995.060156,31.190000,150.477079,47.167969 
2019-6-30-9-51-47-710944,,0.000000,0.000000,0.000000,-0.011680,-0.039276,0.865373,0.779147,-2.070956,-0.693663,-15.832833,-5.984677,13.515031,995.060156,31.190000,150.477079,47.167969 
2019-6-30-9-51-47-818203,,0.000000,0.000000,0.000000,0.169940,-0.207420,1.095033,0.496063,-2.459931,-0.520194,-6.212650,-5.104033,17.334692,995.103906,31.200000,150.107447,46.990234 
2019-6-30-9-51-47-918765,,0.000000,0.000000,0.000000,0.188159,-0.130142,1.110712,-0.433005,-0.980125,-0.537754,-0.356354,-4.010130,17.486063,995.103906,31.200000,150.107447,46.990234 
2019-6-30-9-51-48-19242,,0.000000,0.000000,0.000000,0.155429,-0.046919,0.875058,-0.126508,1.754401,0.022560,0.786374,-3.874101,16.044886,995.103906,31.200000,150.107447,46.990234 
2019-6-30-9-51-48-122268,,0.000000,0.000000,0.000000,-0.000779,-0.096173,1.010179,0.392833,1.129701,-0.104082,-3.450319,-4.675437,13.347103,995.103906,31.200000,150.107447,46.990234 
2019-6-30-9-51-48-222677,,0.000000,0.000000,0.000000,-0.026864,-0.018258,0.877825,0.055474,0.042595,-0.430267,-6.780294,-4.843017,11.902246,995.103906,31.200000,150.107447,46.990234 
